club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Inter,Wálter Samuel,27.0,Centre-Back,Real Madrid,16.00m,in,Summer,16,Serie A,2005,2005/2006
Inter,David Pizarro,25.0,Central Midfield,Italy,12.00m,in,Summer,12,Serie A,2005,2005/2006
Inter,Santiago Solari,28.0,Left Midfield,Real Madrid,2.00m,in,Summer,2,Serie A,2005,2005/2006
Inter,Marco Andreolli,19.0,Centre-Back,Italy,400Th.,in,Summer,"0,4",Serie A,2005,2005/2006
Inter,Paolo Orlandoni,32.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Inter,Robert Acquafresca,17.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Inter,Luís Figo,32.0,Right Winger,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Inter,Pierre Womé,26.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Juventus,Patrick Vieira,29.0,Defensive Midfield,Arsenal,20.00m,in,Summer,20,Serie A,2005,2005/2006
Juventus,Giorgio Chiellini,20.0,Centre-Back,Fiorentina,7.70m,in,Summer,"7,7",Serie A,2005,2005/2006
Juventus,Fabrizio Miccoli,26.0,Centre-Forward,Fiorentina,2.39m,in,Summer,"2,39",Serie A,2005,2005/2006
Juventus,Douglas Packer,18.0,Central Midfield,South America,150Th.,in,Summer,"0,15",Serie A,2005,2005/2006
Juventus,Gladstone,20.0,Centre-Back,South America,Loan fee:150Th.,in,Summer,"0,15",Serie A,2005,2005/2006
Juventus,Federico Balzaretti,23.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Juventus,Giuliano Giannichedda,30.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Juventus,Robert Kovac,31.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
Juventus,Christian Abbiati,28.0,Goalkeeper,AC Milan,loan transfer,in,Summer,0.01,Serie A,2005,2005/2006
AS Roma,Massimo Bonanni,23.0,Left Midfield,Italy,500Th.,in,Summer,"0,5",Serie A,2005,2005/2006
AS Roma,Shabani Nonda,28.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
AS Roma,Samuel Kuffour,28.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
AS Roma,Rodrigo Taddei,25.0,Right Winger,free agents,free transfer,in,Summer,0,Serie A,2005,2005/2006
AS Roma,Dimitrios Eleftheropoulos,29.0,Goalkeeper,AC Milan,loan transfer,in,Summer,0.01,Serie A,2005,2005/2006
AS Roma,Doni,25.0,Goalkeeper,South America,18Th.,in,Summer,"0,018",Serie A,2005,2005/2006
AS Roma,Gianluca Comotto,26.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,2005,2005/2006
AS Roma,Houssine Kharja,22.0,Central Midfield,Italy,loan transfer,in,Summer,0.01,Serie A,2005,2005/2006
AS Roma,Édgar Álvarez,25.0,Right Midfield,South America,loan transfer,in,Summer,0.01,Serie A,2005,2005/2006
